record num,title,author_list,date
178,Linguistic Features Identify Alzheimer's Disease in Narrative Speech.,"Kathleen C Fraser,Jed A Meltzer,Frank Rudzicz",
179,No evidence of risk-taking or impulsive behaviour in a person with episodic amnesia: Implications for the role of the hippocampus in future-regarding decision-making.,"R S Rosenbaum,D Kwan,D Floden,B Levine,D T Stuss,C F Craver",2015
180,The Center for Integrated Molecular Brain Imaging (Cimbi) database.,"Gitte M Knudsen,Peter S Jensen,David Erritzoe,William F C Baaré,Anders Ettrup,Patrick M Fisher,Nic Gillings,Hanne D Hansen,Lars Kai Hansen,Steen G Hasselbalch,Susanne Henningsson,Matthias M Herth,Klaus K Holst,Pernille Iversen,Lars V Kessing,Julian Macoveanu,Kathrine Skak Madsen,Erik L Mortensen,Finn Årup Nielsen,Olaf B Paulson,Hartwig R Siebner,Dea S Stenbæk,Claus Svarer,Terry L Jernigan,Stephen C Strother,Vibe G Frokjaer",2015
181,Interacting effects of age and time of day on verbal fluency performance and intraindividual variability.,"Sam Iskandar,Kelly J Murphy,Anne D Baird,Robert West,Maria Armilio,Fergus I M Craik,Donald T Stuss",2015
182,"Transcriptomic-anatomic analysis of the mouse habenula uncovers a high molecular heterogeneity among neurons in the lateral complex, while gene expression in the medial complex largely obeys subnuclear boundaries.","Franziska Wagner,Leon French,Rüdiger W Veh",2014
183,Interventions Targeting Reversible Dementia in Down Syndrome.,"Brandy L Callahan,Carolyn Wong,Peter N Ngang,Uri Wolf,Morris Freedman",
184,Seasonal and Weather Effects on Older Drivers' Trip Distances.,"Glenys A Smith,Michelle M Porter,Andrew W Cull,Barbara L Mazer,Anita M Myers,Gary Naglie,Michel Bédard,Holly A Tuokko,Brenda H Vrkljan,Isabelle Gélinas,Shawn C Marshall,Mark J Rapoport",2016
185,Neural basis of reward anticipation and its genetic determinants.,"Tianye Jia,Christine Macare,Sylvane Desrivières,Dante A Gonzalez,Chenyang Tao,Xiaoxi Ji,Barbara Ruggeri,Frauke Nees,Tobias Banaschewski,Gareth J Barker,Arun L W Bokde,Uli Bromberg,Christian Büchel,Patricia J Conrod,Rachel Dove,Vincent Frouin,Jürgen Gallinat,Hugh Garavan,Penny A Gowland,Andreas Heinz,Bernd Ittermann,Mark Lathrop,Hervé Lemaitre,Jean-Luc Martinot,Tomáš Paus,Zdenka Pausova,Jean-Baptiste Poline,Marcella Rietschel,Trevor Robbins,Michael N Smolka,Christian P Müller,Jianfeng Feng,Adrian Rothenfluh,Herta Flor,Gunter Schumann,IMAGEN Consortium",2016
186,The role of the hippocampus in memory and mental construction.,"Signy Sheldon,Brian Levine",2016
187,Co-ordinated structural and functional covariance in the adolescent brain underlies face processing performance.,"Daniel Joel Shaw,Radek Mareček,Marie-Helene Grosbras,Gabriel Leonard,G Bruce Pike,Tomáš Paus",2016
188,Effects of short-term music and second-language training on executive control.,"Monika Janus,Yunjo Lee,Sylvain Moreno,Ellen Bialystok",2015
189,Distributed category-specific recognition-memory signals in human perirhinal cortex.,"Chris B Martin,Rosemary A Cowell,Paul L Gribble,Jessey Wright,Stefan Köhler",2015
190,Reliability and construct validity of a revised Baycrest Multiple Errands Test.,"Amanda J Clark,Nicole D Anderson,Emily Nalder,Sidrah Arshad,Deirdre R Dawson",2015
191,Processing context: Asymmetric interference of visual form and texture in object and scene interactions.,"Matthew X Lowe,Susanne Ferber,Jonathan S Cant",2015
192,Cannabis use in early adolescence: Evidence of amygdala hypersensitivity to signals of threat.,"Philip A Spechler,Catherine A Orr,Bader Chaarani,Kees-Jan Kan,Scott Mackey,Aaron Morton,Mitchell P Snowe,Kelsey E Hudson,Robert R Althoff,Stephen T Higgins,Anna Cattrell,Herta Flor,Frauke Nees,Tobias Banaschewski,Arun L W Bokde,Robert Whelan,Christian Büchel,Uli Bromberg,Patricia Conrod,Vincent Frouin,Dimitri Papadopoulos,Jurgen Gallinat,Andreas Heinz,Henrik Walter,Bernd Ittermann,Penny Gowland,Tomáš Paus,Luise Poustka,Jean-Luc Martinot,Eric Artiges,Michael N Smolka,Gunter Schumann,Hugh Garavan,IMAGEN Consortium",2015
193,Inter-individual differences in the experience of negative emotion predict variations in functional brain architecture.,"Raluca Petrican,Cristina Saverino,R Shayna Rosenbaum,Cheryl Grady",2015
194,The medial temporal lobes distinguish between within-item and item-context relations during autobiographical memory retrieval.,"Signy Sheldon,Brian Levine",2015
195,The neural correlates of memory for a life-threatening event: An fMRI study of passengers from flight AT236.,"Daniela J Palombo,Margaret C McKinnon,Anthony R McIntosh,Adam K Anderson,Rebecca M Todd,Brian Levine",2015
196,Unpredicted Pitch Modulates Beta Oscillatory Power during Rhythmic Entrainment to a Tone Sequence.,"Andrew Chang,Dan J Bosnyak,Laurel J Trainor",2016
197,"Paramedics assessing Elders at Risk for Independence Loss (PERIL): Derivation, Reliability and Comparative Effectiveness of a Clinical Prediction Rule.","Jacques S Lee,P Richard Verbeek,Michael J Schull,Lisa Calder,Ian G Stiell,John Trickett,Laurie J Morrison,Michael Nolan,Brian H Rowe,Sunil Sookram,David Ryan,Alex Kiss,Gary Naglie",
198,Identifying Dysfunctional Cortex: Dissociable Effects of Stroke and Aging on Resting State Dynamics in MEG and fMRI.,"Aneta Kielar,Tiffany Deschamps,Ron K O Chu,Regina Jokel,Yasha B Khatamian,Jean J Chen,Jed A Meltzer",2016
199,Slow Stream Rehabilitation: A New Model of Post-Acute Care.,"Grace Leung,Paul R Katz,Jurgis Karuza,Greg W Arling,Angela Chan,Anna Berall,Shafagh Fallah,Malcolm A Binns,Gary Naglie",2015
200,Personal semantics: Is it distinct from episodic and semantic memory? An electrophysiological study of memory for autobiographical facts and repeated events in honor of Shlomo Bentin.,"Louis Renoult,Annick Tanguay,Myriam Beaudry,Paniz Tavakoli,Sheida Rabipour,Kenneth Campbell,Morris Moscovitch,Brian Levine,Patrick S R Davidson",2015
201,The Virtual Brain: Modeling Biological Correlates of Recovery after Chronic Stroke.,"Maria Inez Falcon,Jeffrey D Riley,Viktor Jirsa,Anthony R McIntosh,Ahmed D Shereen,E Elinor Chen,Ana Solodkin",2015
202,Beta-Band Oscillations Represent Auditory Beat and Its Metrical Hierarchy in Perception and Imagery.,"Takako Fujioka,Bernhard Ross,Laurel J Trainor",
203,Characterizing Resting-State Brain Function Using Arterial Spin Labeling.,"J Jean Chen,Kay Jann,Danny J J Wang",2015
204,Vascular risk factor burden correlates with cerebrovascular reactivity but not resting state coactivation in the default mode network.,"Ekaterina Tchistiakova,David E Crane,David J Mikulis,Nicole D Anderson,Carol E Greenwood,Sandra E Black,Bradley J MacIntosh",2015
205,Neurogenesis-mediated forgetting minimizes proactive interference.,"Jonathan R Epp,Rudy Silva Mera,Stefan Köhler,Sheena A Josselyn,Paul W Frankland",2016
206,Community Elder Mistreatment Intervention With Capable Older Adults: Toward a Conceptual Practice Model.,David Burnes,2016
207,Seeing the Forest and the Trees: Default Local Processing in Individuals with High Autistic Traits Does Not Come at the Expense of Global Attention.,"Ryan A Stevenson,Sol Z Sun,Naomi Hazlett,Jonathan S Cant,Morgan D Barense,Susanne Ferber",2016
208,EEG alpha power during maintenance of information in working memory in adults with ADHD and its plasticity due to working memory training: A randomized controlled trial.,"Zhong-Xu Liu,Daniel Glizer,Rosemary Tannock,Steven Woltering",2015
209,Rehospitalization After Traumatic Brain Injury: A Population-Based Study.,"Cristina Saverino,Bonnie Swaine,Susan Jaglal,John Lewko,Lee Vernich,Jennifer Voth,Andrew Calzavara,Angela Colantonio",2015
210,Sentinel Events During the Transition From Hospital to Home: A Longitudinal Study of Women With Traumatic Brain Injury.,"Emily Nalder,Jennifer Fleming,Petrea Cornwell,Michele Foster,Elizabeth Skidmore,Carolina Bottari,Deirdre R Dawson",2015
211,The Rediscovery of Slowness: Exploring the Timing of Cognition.,"Morten L Kringelbach,Anthony R McIntosh,Petra Ritter,Viktor K Jirsa,Gustavo Deco",
212,Expressive suppression and neural responsiveness to nonverbal affective cues.,"Raluca Petrican,R Shayna Rosenbaum,Cheryl Grady",2015
213,Visceral fat enhances blood pressure reactivity to physical but not mental challenges in male adolescents.,"M Van Woudenberg,M Abrahamowicz,G Leonard,M Perron,L Richer,S Veillette,D Gaudet,T Paus,Z Pausova",
214,"Early Cannabis Use, Polygenic Risk Score for Schizophrenia and Brain Maturation in Adolescence.","Leon French,Courtney Gray,Gabriel Leonard,Michel Perron,G Bruce Pike,Louis Richer,Jean R Séguin,Suzanne Veillette,C John Evans,Eric Artiges,Tobias Banaschewski,Arun W L Bokde,Uli Bromberg,Ruediger Bruehl,Christian Buchel,Anna Cattrell,Patricia J Conrod,Herta Flor,Vincent Frouin,Jurgen Gallinat,Hugh Garavan,Penny Gowland,Andreas Heinz,Herve Lemaitre,Jean-Luc Martinot,Frauke Nees,Dimitri Papadopoulos Orfanos,Melissa Marie Pangelinan,Luise Poustka,Marcella Rietschel,Michael N Smolka,Henrik Walter,Robert Whelan,Nic J Timpson,Gunter Schumann,George Davey Smith,Zdenka Pausova,Tomáš Paus",
215,Effect of Early Adversity and Childhood Internalizing Symptoms on Brain Structure in Young Men.,"Sarah K G Jensen,Erin W Dickie,Deborah H Schwartz,C John Evans,Iroise Dumontheil,Tomáš Paus,Edward D Barker",
216,Neural activity patterns evoked by a spouse's incongruent emotional reactions when recalling marriage-relevant experiences.,"Raluca Petrican,Rachel Shayna Rosenbaum,Cheryl Grady",2015
217,Population neuroscience.,T Paus,
218,Selective scanpath repetition during memory-guided visual search.,"Jordana S Wynn,Michael B Bone,Michelle C Dragan,Kari L Hoffman,Bradley R Buchsbaum,Jennifer D Ryan",2016
219,Ventral Striatum Connectivity During Reward Anticipation in Adolescent Smokers.,"Lee Jollans,Cao Zhipeng,Ilknur Icke,Ciara Greene,Clare Kelly,Tobias Banaschewski,Arun L W Bokde,Uli Bromberg,Christian Büchel,Anna Cattrell,Patricia J Conrod,Sylvane Desrivières,Herta Flor,Vincent Frouin,Jürgen Gallinat,Hugh Garavan,Penny Gowland,Andreas Heinz,Bernd Ittermann,Jean-Luc Martinot,Eric Artiges,Frauke Nees,Dimitri Papadopoulos Orfanos,Tomáš Paus,Michael N Smolka,Henrik Walter,Gunter Schumann,Robert Whelan",2016
220,Recognition Memory is Improved by a Structured Temporal Framework During Encoding.,"Sathesan Thavabalasingam,Edward B O'Neil,Zheng Zeng,Andy C H Lee",2016
221,Profiling Speech and Pausing in Amyotrophic Lateral Sclerosis (ALS) and Frontotemporal Dementia (FTD).,"Yana Yunusova,Naida L Graham,Sanjana Shellikeri,Kent Phuong,Madhura Kulkarni,Elizabeth Rochon,David F Tang-Wai,Tiffany W Chow,Sandra E Black,Lorne H Zinman,Jordan R Green",2016
222,Effects of Vocal Emotion on Memory in Younger and Older Adults.,"M Kathleen Pichora-Fuller,Kate Dupuis,Sherri L Smith",
223,Laterality effects in functional connectivity of the angular gyrus during rest and episodic retrieval.,"Buddhika Bellana,Zhongxu Liu,John A E Anderson,Morris Moscovitch,Cheryl L Grady",2015
224,"A cross-modal, cross-species comparison of connectivity measures in the primate brain.","Andrew T Reid,John Lewis,Gleb Bezgin,Budhachandra Khundrakpam,Simon B Eickhoff,Anthony R McIntosh,Pierre Bellec,Alan C Evans",2015
225,Physiological fluctuations in white matter are increased in Alzheimer's disease and correlate with neuroimaging and cognitive biomarkers.,"Ilia Makedonov,J Jean Chen,Mario Masellis,Bradley J MacIntosh,Alzheimer's Disease Neuroimaging Initiative",2015
226,Memory and navigation: Compression of space varies with route length and turns.,"Kyra Bonasia,Joseph Blommesteyn,Morris Moscovitch",2015
227,[MEG]PLS: A pipeline for MEG data analysis and partial least squares statistics.,"Michael J Cheung,Natasa Kovačević,Zainab Fatima,Bratislav Mišić,Anthony R McIntosh",2015
228,"Associations between speech understanding and auditory and visual tests of verbal working memory: effects of linguistic complexity, task, age, and hearing loss.","Sherri L Smith,M Kathleen Pichora-Fuller",2015
229,Automated iterative reclustering framework for determining hierarchical functional networks in resting state fMRI.,"Seyed-Mohammad Shams,Babak Afshin-Pour,Hamid Soltanian-Zadeh,Gholam-Ali Hossein-Zadeh,Stephen C Strother",2015
230,Recognition without awareness: Encoding and retrieval factors.,"Fergus I M Craik,Nathan S Rose,Nigel Gopie",2015
231,Cognitive processes in the Breakfast Task: Planning and monitoring.,"Nathan S Rose,Lin Luo,Ellen Bialystok,Alexandra Hering,Karen Lau,Fergus I M Craik",2015
232,Coordinated Information Generation and Mental Flexibility: Large-Scale Network Disruption in Children with Autism.,"Bratislav Mišić,Sam M Doesburg,Zainab Fatima,Julie Vidal,Vasily A Vakorin,Margot J Taylor,Anthony R McIntosh",2014
233,Incomplete Hippocampal Inversion: A Comprehensive MRI Study of Over 2000 Subjects.,"Claire Cury,Roberto Toro,Fanny Cohen,Clara Fischer,Amel Mhaya,Jorge Samper-González,Dominique Hasboun,Jean-François Mangin,Tobias Banaschewski,Arun L W Bokde,Uli Bromberg,Christian Buechel,Anna Cattrell,Patricia Conrod,Herta Flor,Juergen Gallinat,Hugh Garavan,Penny Gowland,Andreas Heinz,Bernd Ittermann,Hervé Lemaitre,Jean-Luc Martinot,Frauke Nees,Marie-Laure Paillère Martinot,Dimitri P Orfanos,Tomas Paus,Luise Poustka,Michael N Smolka,Henrik Walter,Robert Whelan,Vincent Frouin,Gunter Schumann,Joan A Glaunès,Olivier Colliot,IMAGEN Consortium",2015
234,Reversible long-standing severe disability in idiopathic normal pressure hydrocephalus.,"Ayman M Selim,Colleen Ray,Michael D Cusimano,Eloise Karp,Morris Freedman",
235,Functional Evidence for Memory Stabilization in Sensorimotor Adaptation: A 24-h Resting-State fMRI Study.,"Valeria Della-Maggiore,Jorge I Villalta,Natasa Kovacevic,Anthony Randal McIntosh",2015
236,"Corrigendum: Training Recollection in Healthy Older Adults: Clear Improvements on the Training Task, but Little Evidence of Transfer.","Vessela Stamenova,Janine M Jennings,Shaun P Cook,Lisa A S Walker,Andra M Smith,Patrick S R Davidson",2015
237,"The Brain's Response to Reward Anticipation and Depression in Adolescence: Dimensionality, Specificity, and Longitudinal Predictions in a Community-Based Sample.","Argyris Stringaris,Pablo Vidal-Ribas Belil,Eric Artiges,Hervé Lemaitre,Fanny Gollier-Briant,Selina Wolke,Hélène Vulser,Ruben Miranda,Jani Penttilä,Maren Struve,Tahmine Fadai,Viola Kappel,Yvonne Grimmer,Robert Goodman,Luise Poustka,Patricia Conrod,Anna Cattrell,Tobias Banaschewski,Arun L W Bokde,Uli Bromberg,Christian Büchel,Herta Flor,Vincent Frouin,Juergen Gallinat,Hugh Garavan,Penny Gowland,Andreas Heinz,Bernd Ittermann,Frauke Nees,Dimitri Papadopoulos,Tomas Paus,Michael N Smolka,Henrik Walter,Rob Whelan,Jean-Luc Martinot,Gunter Schumann,Marie-Laure Paillère-Martinot,IMAGEN Consortium",2015
238,New evidence of factor structure and measurement invariance of the SDQ across five European nations.,"Javier Ortuño-Sierra,Eduardo Fonseca-Pedrero,Rebeca Aritio-Solana,Alvaro Moreno Velasco,Edurne Chocarro de Luis,Gunter Schumann,Anna Cattrell,Herta Flor,Frauke Nees,Tobias Banaschewski,Arun Bokde,Rob Whelan,Christian Buechel,Uli Bromberg,Patricia Conrod,Vincent Frouin,Dimitri Papadopoulos,Juergen Gallinat,Hugh Garavan,Andreas Heinz,Henrik Walter,Maren Struve,Penny Gowland,Tomáš Paus,Luise Poustka,Jean-Luc Martinot,Marie-Laure Paillère-Martinot,Nora C Vetter,Michael N Smolka,Claire Lawrence,IMAGEN consortium",2015
239,Not all declarative memories are created equal: Fast Mapping as a direct route to cortical declarative representations.,"Maayan Merhav,Avi Karni,Asaf Gilboa",2015
240,An automated pipeline for constructing personalized virtual brains from multimodal neuroimaging data.,"Michael Schirner,Simon Rothmeier,Viktor K Jirsa,Anthony Randal McIntosh,Petra Ritter",2015
241,Metabolic and vascular origins of the BOLD effect: Implications for imaging pathology and resting-state brain function.,"Clarisse I Mark,Erin L Mazerolle,J Jean Chen",2015
242,Strategy Training Shows Promise for Addressing Disability in the First 6 Months After Stroke.,"Elizabeth R Skidmore,Deirdre R Dawson,Meryl A Butters,Emily S Grattan,Shannon B Juengst,Ellen M Whyte,Amy Begley,Margo B Holm,James T Becker",2014
243,TVB-EduPack-An Interactive Learning and Scripting Platform for The Virtual Brain.,"Henrik Matzke,Michael Schirner,Daniel Vollbrecht,Simon Rothmeier,Adalberto Llarena,Raúl Rojas,Paul Triebkorn,Lia Domide,Jochen Mersmann,Ana Solodkin,Viktor K Jirsa,Anthony Randal McIntosh,Petra Ritter",2015
244,Examining the Role of the Human Hippocampus in Approach-Avoidance Decision Making Using a Novel Conflict Paradigm and Multivariate Functional Magnetic Resonance Imaging.,"Edward B O'Neil,Rachel N Newsome,Iris H N Li,Sathesan Thavabalasingam,Rutsuko Ito,Andy C H Lee",
245,A multi-faceted knowledge translation approach to support persons with stroke and cognitive impairment: evaluation protocol.,"Sara E McEwen,Michelle Donald,Deirdre Dawson,Mary Y Egan,Anne Hunt,Sylvia Quant,Sharron Runions,Elizabeth Linkewich",2015
246,"Personality and substance use: psychometric evaluation and validation of the Substance Use Risk Profile Scale (SURPS) in English, Irish, French, and German adolescents.","Sarah Jurk,Sören Kuitunen-Paul,Nils B Kroemer,Eric Artiges,Tobias Banaschewski,Arun L W Bokde,Christian Büchel,Patricia Conrod,Mira Fauth-Bühler,Herta Flor,Vincent Frouin,Jürgen Gallinat,Hugh Garavan,Andreas Heinz,Karl F Mann,Frauke Nees,Tomáš Paus,Zdenka Pausova,Luise Poustka,Marcella Rietschel,Gunter Schumann,Maren Struve,Michael N Smolka,IMAGEN consortium",2015
247,Attentional Capacity Limits Gap Detection during Concurrent Sound Segregation.,"Ada W S Leung,Pierre Jolicoeur,Claude Alain",2015
248,"A feasibility and pilot randomized controlled trial of the ""Timing it Right Stroke Family Support Program"".","Jill I Cameron,Gary Naglie,Theresa L Green,Monique A M Gignac,Mark Bayley,Maria Huijbregts,Frank L Silver,Anna Czerwonka",2014
249,Identifying craniofacial features associated with prenatal exposure to androgens and testing their relationship with brain development.,"Klára Marečková,Mallar M Chakravarty,Claire Lawrence,Gabriel Leonard,Daniel Perusse,Michel Perron,Bruce G Pike,Louis Richer,Suzanne Veillette,Zdenka Pausova,Tomáš Paus",2014
250,Rsu1 regulates ethanol consumption in Drosophila and humans.,"Shamsideen A Ojelade,Tianye Jia,Aylin R Rodan,Tao Chenyang,Julie L Kadrmas,Anna Cattrell,Barbara Ruggeri,Pimphen Charoen,Hervé Lemaitre,Tobias Banaschewski,Christian Büchel,Arun L W Bokde,Fabiana Carvalho,Patricia J Conrod,Herta Flor,Vincent Frouin,Jürgen Gallinat,Hugh Garavan,Penny A Gowland,Andreas Heinz,Bernd Ittermann,Mark Lathrop,Steven Lubbe,Jean-Luc Martinot,Tomás Paus,Michael N Smolka,Rainer Spanagel,Paul F O'Reilly,Jaana Laitinen,Juha M Veijola,Jianfeng Feng,Sylvane Desrivières,Marjo-Riitta Jarvelin,IMAGEN Consortium,Gunter Schumann,Adrian Rothenfluh",2015
251,Axon diameter and axonal transport: In vivo and in vitro effects of androgens.,"M Pesaresi,R Soon-Shiong,L French,D R Kaplan,F D Miller,T Paus",2015
252,5-HTTLPR differentially predicts brain network responses to emotional faces.,"Patrick M Fisher,Cheryl L Grady,Martin K Madsen,Stephen C Strother,Gitte M Knudsen",2015
253,The effect of lifelong bilingualism on regional grey and white matter volume.,"Rosanna K Olsen,Melissa M Pangelinan,Cari Bogulski,M Mallar Chakravarty,Gigi Luk,Cheryl L Grady,Ellen Bialystok",2015
254,Neural responses to monetary incentives in younger and older adults.,"Julia Spaniol,Holly J Bowen,Pete Wegier,Cheryl Grady",2014
255,Cognitive and neural plasticity in older adults' prospective memory following training with the Virtual Week computer game.,"Nathan S Rose,Peter G Rendell,Alexandra Hering,Matthias Kliegel,Gavin M Bidelman,Fergus I M Craik",2015
256,Subthreshold depression and regional brain volumes in young community adolescents.,"Hélène Vulser,Hervé Lemaitre,Eric Artiges,Ruben Miranda,Jani Penttilä,Maren Struve,Tahmine Fadai,Viola Kappel,Yvonne Grimmer,Robert Goodman,Argyris Stringaris,Luise Poustka,Patricia Conrod,Vincent Frouin,Tobias Banaschewski,Gareth J Barker,Arun L W Bokde,Uli Bromberg,Christian Büchel,Herta Flor,Juergen Gallinat,Hugh Garavan,Penny Gowland,Andreas Heinz,Bernd Ittermann,Claire Lawrence,Eva Loth,Karl Mann,Frauke Nees,Tomas Paus,Zdenka Pausova,Marcella Rietschel,Trevor W Robbins,Michael N Smolka,Gunter Schumann,Jean-Luc Martinot,Marie-Laure Paillère-Martinot,IMAGEN Consortium (www.imagen-europe.com),IMAGEN Consortium www imagen-europe com",2015
257,Trail Making Test Elucidates Neural Substrates of Specific Poststroke Executive Dysfunctions.,"Ryan T Muir,Benjamin Lam,Kie Honjo,Robin D Harry,Alicia A McNeely,Fu-Qiang Gao,Joel Ramirez,Christopher J M Scott,Anoop Ganda,Jiali Zhao,X Joe Zhou,Simon J Graham,Novena Rangwala,Erin Gibson,Nancy J Lobaugh,Alex Kiss,Donald T Stuss,David L Nyenhuis,Byung-Chul Lee,Yeonwook Kang,Sandra E Black",2015
258,A retroactive spatial cue improved VSTM capacity in mild cognitive impairment and medial temporal lobe amnesia but not in healthy older adults.,"Rachel N Newsome,Audrey Duarte,Carson Pun,Victoria M Smith,Susanne Ferber,Morgan D Barense",2015
259,Impoverished descriptions of familiar routes in three cases of hippocampal/medial temporal lobe amnesia.,"Katherine A Herdman,Navona Calarco,Morris Moscovitch,Marnie Hirshhorn,R Shayna Rosenbaum",2015
260,Unitization supports lasting performance and generalization on a relational memory task: Evidence from a previously undocumented developmental amnesic case.,"Maria C D'Angelo,Arber Kacollja,Jennifer S Rabin,R Shayna Rosenbaum,Jennifer D Ryan",2015
261,Layered genetic control of DNA methylation and gene expression: a locus of multiple sclerosis in healthy individuals.,"Jean Shin,Celine Bourdon,Manon Bernard,Michael D Wilson,Eva Reischl,Melanie Waldenberger,Barbara Ruggeri,Gunter Schumann,Sylvane Desrivieres,Alexander Leemans,IMAGEN Consortium,SYS Consortium,Michal Abrahamowicz,Gabriel Leonard,Louis Richer,Luigi Bouchard,Daniel Gaudet,Tomas Paus,Zdenka Pausova",2015
262,Distributed Patterns of Reactivation Predict Vividness of Recollection.,"Marie St-Laurent,Hervé Abdi,Bradley R Buchsbaum",2015
263,The Look that Binds: Partner-Directed Altruistic Motivation and Biased Perception in Married Couples.,"Raluca Petrican,Alexander Todorov,Christopher T Burris,R Shayna Rosenbaum,Cheryl Grady",
264,Editorial: State-dependent brain computation.,"Petra Ritter,Viktor K Jirsa,Anthony R McIntosh,Michael Breakspear",2015
265,"Personality, Attentional Biases towards Emotional Faces and Symptoms of Mental Disorders in an Adolescent Sample.","Maeve O'Leary-Barrett,Robert O Pihl,Eric Artiges,Tobias Banaschewski,Arun L W Bokde,Christian Büchel,Herta Flor,Vincent Frouin,Hugh Garavan,Andreas Heinz,Bernd Ittermann,Karl Mann,Marie-Laure Paillère-Martinot,Frauke Nees,Tomas Paus,Zdenka Pausova,Luise Poustka,Marcella Rietschel,Trevor W Robbins,Michael N Smolka,Andreas Ströhle,Gunter Schumann,Patricia J Conrod,IMAGEN Consortium",2015
266,Severely deficient autobiographical memory (SDAM) in healthy adults: A new mnemonic syndrome.,"Daniela J Palombo,Claude Alain,Hedvig Söderlund,Wayne Khuu,Brian Levine",2015
267,Contribution of common non-synonymous variants in PCSK1 to body mass index variation and risk of obesity: a systematic review and meta-analysis with evidence from up to 331 175 individuals.,"Kevin T Nead,Aihua Li,Mackenzie R Wehner,Binod Neupane,Stefan Gustafsson,Adam Butterworth,James C Engert,A Darlene Davis,Robert A Hegele,Ruby Miller,Marcel den Hoed,Kay-Tee Khaw,Tuomas O Kilpeläinen,Nick Wareham,Todd L Edwards,Göran Hallmans,Tibor V Varga,Sharon L R Kardia,Jennifer A Smith,Wei Zhao,Jessica D Faul,David Weir,Jie Mi,Bo Xi,Samuel Canizales Quinteros,Cyrus Cooper,Avan Aihie Sayer,Karen Jameson,Anders Grøntved,Myriam Fornage,Stephen Sidney,Craig L Hanis,Heather M Highland,Hans-Ulrich Häring,Martin Heni,Jessica Lasky-Su,Scott T Weiss,Glenn S Gerhard,Christopher Still,Melkaey M Melka,Zdenka Pausova,Tomáš Paus,Struan F A Grant,Hakon Hakonarson,R Arlen Price,Kai Wang,Andre Scherag,Johannes Hebebrand,Anke Hinney,BioBank Japan, AGEN-BMI, GIANT Consortium,Paul W Franks,Timothy M Frayling,Mark I McCarthy,Joel N Hirschhorn,Ruth J Loos,Erik Ingelsson,Hertzel C Gerstein,Salim Yusuf,Joseph Beyene,Sonia S Anand,David Meyre",2015
268,A FreeSurfer view of the cortical transcriptome generated from the Allen Human Brain Atlas.,"Leon French,Tomáš Paus",2015
269,"Neurodevelopmental Trajectories, Disconnection, and Schizophrenia Risk.","Matcheri S Keshavan,Tomas Paus",
270,Text mining for neuroanatomy using WhiteText with an updated corpus and a new web application.,"Leon French,Po Liu,Olivia Marais,Tianna Koreman,Lucia Tseng,Artemis Lai,Paul Pavlidis",2015
271,Patterns of preserved and impaired spatial memory in a case of developmental amnesia.,"R Shayna Rosenbaum,Benjamin N Cassidy,Katherine A Herdman",2015
272,Stable long-range interhemispheric coordination is supported by direct anatomical projections.,"Kelly Shen,Bratislav Mišić,Ben N Cipollini,Gleb Bezgin,Martin Buschkuehl,R Matthew Hutchison,Susanne M Jaeggi,Ethan Kross,Scott J Peltier,Stefan Everling,John Jonides,Anthony R McIntosh,Marc G Berman",2015
273,"Neural bases of prospective memory: a meta-analysis and the ""Attention to Delayed Intention"" (AtoDI) model.","Giorgia Cona,Cristina Scarpazza,Giuseppe Sartori,Morris Moscovitch,Patrizia Silvia Bisiacchi",2015
274,Anxiety symptoms in amnestic mild cognitive impairment are associated with medial temporal atrophy and predict conversion to Alzheimer disease.,"Linda Mah,Malcolm A Binns,David C Steffens,Alzheimer's Disease Neuroimaging Initiative",2014
275,"Hearing, Cognition, and Healthy Aging: Social and Public Health Implications of the Links between Age-Related Declines in Hearing and Cognition.","M Kathleen Pichora-Fuller,Paul Mick,Marilyn Reed",
276,The neuroplastic effect of working memory training in healthy volunteers and patients with schizophrenia: Implications for cognitive rehabilitation.,"Xu Li,Ya-hui Xiao,Qing Zhao,Ada W W Leung,Eric F C Cheung,Raymond C K Chan",2015
277,Genomic architecture of human neuroanatomical diversity.,"R Toro,J-B Poline,G Huguet,E Loth,V Frouin,T Banaschewski,G J Barker,A Bokde,C Büchel,F M Carvalho,P Conrod,M Fauth-Bühler,H Flor,J Gallinat,H Garavan,P Gowland,A Heinz,B Ittermann,C Lawrence,H Lemaître,K Mann,F Nees,T Paus,Z Pausova,M Rietschel,T Robbins,M N Smolka,A Ströhle,G Schumann,T Bourgeron,IMAGEN consortium",2014
278,Network structure shapes spontaneous functional connectivity dynamics.,"Kelly Shen,R Matthew Hutchison,Gleb Bezgin,Stefan Everling,Anthony R McIntosh",
279,Comparison of BCG artifact removal methods for evoked responses in simultaneous EEG-fMRI.,"Nasim Shams,Claude Alain,Stephen Strother",2015
